intrust	nsubj
intoxicate	dobj
intimidate	dobj
interview	nsubj
insult	xcomp
insert	nsubj
inlay	nsubj
inform	nsubjpass
infer	nsubj
infatuate	nsubjpass
indicate	advcl
include	conj
incense	dobj
inaugurate	nsubj
improve	ccomp
imperil	nsubj
immerse	nsubjpass
imbrue	nsubjpass
idolize	dobj
idle	nsubj
hypnotise	nsubj
humble	nsubjpass
hope	xcomp
holld	nsubj
holden	conj
hiss	dep
hinder	parataxis
help	nmod:tmod
heckle	dobj
hazard	nsubj
hark	dobj
harass	nsubj
harangue	dobj
hand	iobj
hand	dep
halloo	dobj
half-open	nsubj
habituate	nsubjpass
grumble	dep
grow	csubj
groan	appos
grieve	nsubjpass
grieve	advcl
graduate	nsubj
go	appos
gnash	nsubj
git	dep
giggle	nsubj
gettest	dobj
gêne	nsubj
gasp	xcomp
gap	conj
game	nsubj
gamble	dep
gag	nsubj
gad	nsubj
furl	nmod
fry	nsubj
found	nsubj
formulate	nsubj
forewarn	nsubjpass
foretell	nsubj
fool	nsubj
flout	nsubj
flog	nsubj
flock	dobj
flirt	nsubj
fish	nsubj
find	iobj
ferret	nsubjpass
feed	nsubjpass
feed	dep
feed	ccomp
feard	nsubjpass
fascinate	nsubjpass
familiarize	dobj
fag	nsubj
extend	dep
explode	dep
exclaim	parataxis
except	nsubj
eulogize	nsubj
estrange	dobj
esteem	parataxis
esteem	nsubj
escort	nsubjpass
erase	nsubj
ept	nmod
entreat	nsubj
entreat	dep
entertain	nsubjpass
ensconce	nsubj
enrich	nsubj
enquire	nsubj
enlighten	xcomp
engage	xcomp
enfold	nsubj
endure	advcl
endear	nsubjpass
embolden	nsubj
embolden	dobj
embark	nsubj
embalm	dobj
elevate	parataxis
elasp	nmod
dupe	nsubjpass
drownd	nsubj
dream	dep
doom	nsubjpass
dodge	advcl
divorce	nsubj
dissatisfy	nsubjpass
dispute	nsubj
dispose	advcl
displease	dobj
displace	nsubj
dismiss	parataxis
dislocate	nsubj
dislike	nmod
dishearten	dep
disgrace	nsubj
disfigure	dobj
discontinue	nsubj
disarrange	ccomp
din	nmod
dethrone	nsubj
detest	nsubj
deter	nsubjpass
detain	nsubjpass
detail	nsubj
despise	ccomp
despatch	nsubj
desire	nmod:tmod
deprecate	nsubj
deposit	ccomp
depose	nsubj
depose	nmod
denominate	nsubj
delude	nsubjpass
delight	nsubjpass
delay	parataxis
deflect	nsubj
defer	nsubj
defend	advcl
deduce	nsubj
decoy	nsubjpass
declare	iobj
decamp	nsubj
dearest	dobj
date	xcomp
curse	nsubjpass
cuff	nsubj
cudgel	nsubj
cow	nsubj
cough	dep
cough	advmod
corroborate	nsubj
coquet	nsubj
cop	nsubj
convict	appos
contradict	xcomp
contradict	nsubj
consign	nsubj
